Timestamp,Age range,"How often do you use AI assistants (e.g., ChatGPT, Copilot)?",Have you used a multi-agent AI system before?,Which AI tools do you use regularly? (select all that apply),I trusted the system's output enough to act on it.,I felt in control of what the system did on my behalf.,I am satisfied with this interaction.,The system made it clear what it was going to do before doing it.,It was easy to correct or stop the system when needed.,I understood why the system made the decisions it did.,I felt comfortable with the information I shared during this task.,Any comments about this mode? (optional),I trusted the system's output enough to act on it. 2,I felt in control of what the system did on my behalf. 2,I am satisfied with this interaction. 2,The system made it clear what it was going to do before doing it. 2,It was easy to correct or stop the system when needed. 2,I understood why the system made the decisions it did. 2,I felt comfortable with the information I shared during this task. 2,Any comments about this mode? (optional) 2,I trusted the system's output enough to act on it. 3,I felt in control of what the system did on my behalf. 3,I am satisfied with this interaction. 3,The system made it clear what it was going to do before doing it. 3,It was easy to correct or stop the system when needed. 3,I understood why the system made the decisions it did. 3,I felt comfortable with the information I shared during this task. 3,Any comments about this mode? (optional) 3,Which transparency mode would you prefer for everyday use?,"Which mode would you prefer for high-stakes tasks (e.g., sending a Slack message on your behalf)?",Why did you prefer that mode? What drove your choice?,"Overall, how would you rate the difficulty of this task?",Mental Demand — How much mental and perceptual activity was required?,Physical Demand — How much physical activity was required?,Temporal Demand — How much time pressure did you feel?,Performance — How successful were you in accomplishing the task?,Effort — How hard did you have to work to accomplish the task?,"Frustration — How irritated, stressed, or annoyed did you feel?",Using text input felt natural for this type of task.,I would use text input in a public/shared space.,In what situations would you choose or avoid text input? (optional),"Overall, how would you rate the difficulty of this task? 2",Mental Demand — How much mental and perceptual activity was required? 2,Physical Demand — How much physical activity was required? 2,Temporal Demand — How much time pressure did you feel? 2,Performance — How successful were you in accomplishing the task? 2,Effort — How hard did you have to work to accomplish the task? 2,"Frustration — How irritated, stressed, or annoyed did you feel? 2",Using image input felt natural for this type of task.,I would use image input in a public/shared space.,In what situations would you choose or avoid image input? (optional),"Overall, how would you rate the difficulty of this task? 3",Mental Demand — How much mental and perceptual activity was required? 3,Physical Demand — How much physical activity was required? 3,Temporal Demand — How much time pressure did you feel? 3,Performance — How successful were you in accomplishing the task? 3,Effort — How hard did you have to work to accomplish the task? 3,"Frustration — How irritated, stressed, or annoyed did you feel? 3",Using voice input felt natural for this type of task.,I would use voice input in a public/shared space.,In what situations would you choose or avoid voice input? (optional),Which input modality would you use most often on a mobile device?,Which modalities felt well-suited to on-the-go use? (select all that apply),Was there a modality that surprised you — positively or negatively? Why?,I was able to find the constitution editor without help.,I understood what the constitution field does.,Editing the constitution changed the system's behaviour as I expected.,The agent on/off toggles were easy to understand and use.,"After customising the system, I felt more in control.",I would use the constitution and agent controls regularly.,Which type of change did you make to the constitution?,Describe what you changed and whether the system behaved as expected.,"Overall, I would trust this system to act on my behalf on a mobile device.",I felt this system respected my privacy.,I would use this application in my day-to-day work.,Which single feature contributed most to your trust in the system?,Which single feature caused the most friction or concern?,What is the single most important improvement you would make to this system?,Any other comments or suggestions?
2026-02-28 14:19:48.353,22–25,Daily,Yes,"ChatGPT, Google Gemini, Claude, Cursor, Perplexity",3,2,4,2,1,2,4,,6,5,5,6,2,5,4,,7,7,7,7,4,6,4,,"C2 — Plan Preview (plan shown, approve before running)",C3 — Full Transparency,,3,5,1,1,8,5,3,4,6,,4,4,1,1,5,4,1,5,4,,5,5,1,7,3,7,7,6,3,,Text,Multimodal,,6,4,5,7,5,5,"Changed agent routing (e.g., ""always use ArXiv and Semantic Scholar together"")",,3,4,5,Live execution graph (seeing agents work in real time),Voice input felt risky,,
2026-02-28 15:21:48.000,18–21,Once a week,Yes,"Claude, Copilot",1,6,6,5,1,5,4,"",3,3,4,4,6,7,3,,7,5,7,7,5,4,4,,"C2 — Plan Preview (plan shown, approve before running)",C3 — Full Transparency,,2,6,1,1,8,1,3,5,6,,7,1,3,4,8,1,4,2,5,,7,10,2,6,4,7,1,2,2,,Text,"Text, Image",The voice mode surprised me — easier than expected in quiet settings.,5,4,6,6,4,4,"Modified tone/style (e.g., ""always respond formally"")",Constitution editor is powerful but needs better onboarding.,7,4,7,Live execution graph (seeing agents work in real time),Unclear agent descriptions,,
2026-02-28 15:47:48.000,31–35,Rarely,No,"Cursor, Copilot, Claude, ChatGPT, Google Gemini",7,1,7,3,4,3,1,,7,5,4,6,5,6,4,,5,5,6,7,7,7,7,,"C2 — Plan Preview (plan shown, approve before running)","C2 — Plan Preview (plan shown, approve before running)",,5,8,1,1,5,2,6,4,7,,5,2,2,4,8,4,5,4,5,"",7,2,3,6,9,4,7,7,3,,Image,Multimodal,I appreciated the plan preview; it reduced anxiety about automation.,5,2,5,5,7,2,"Modified tone/style (e.g., ""always respond formally"")",Constitution editor is powerful but needs better onboarding.,3,4,3,Clear step-by-step explanations,Unclear agent descriptions,"",
2026-02-28 18:34:48.000,18–21,Daily,No,"Cursor, ChatGPT, Google Gemini",5,1,1,6,4,7,1,,4,6,7,4,4,7,7,,5,5,6,6,5,7,7,,C1 — Silent (no explanation),"C2 — Plan Preview (plan shown, approve before running)",,1,6,1,5,9,2,5,4,2,,6,1,1,1,4,7,3,2,5,,4,8,1,6,4,7,5,6,4,,Multimodal,Multimodal,Constitution editor is powerful but needs better onboarding.,2,2,6,6,6,5,Restricted certain agent actions,"Overall good experience, would love more granular control.",7,7,7,Live execution graph (seeing agents work in real time),Voice input felt risky,,
2026-02-28 15:19:48.000,22–25,Several times a week,Yes,"Stable Diffusion, Google Gemini, Cursor, Midjourney, Claude",4,2,7,1,4,7,7,The voice mode surprised me — easier than expected in quiet settings.,3,7,3,3,3,4,6,,7,5,7,5,4,7,3,,"C2 — Plan Preview (plan shown, approve before running)",C3 — Full Transparency,,4,9,3,4,6,2,3,4,2,"",6,6,1,1,8,4,5,6,2,"",6,2,1,2,7,2,6,3,4,,Voice,Text,"Overall good experience, would love more granular control.",6,2,6,6,5,3,"Modified tone/style (e.g., ""always respond formally"")",Constitution editor is powerful but needs better onboarding.,4,5,3,Plan preview before execution,Lack of undo functionality,,
2026-02-28 14:28:48.000,31–35,Never,Not sure,Google Gemini,5,2,5,3,2,3,1,Constitution editor is powerful but needs better onboarding.,5,5,4,6,6,5,7,"overall good",6,4,5,6,3,4,7,,"C2 — Plan Preview (plan shown, approve before running)",C3 — Full Transparency,,6,6,1,3,9,4,3,3,2,,7,5,1,1,6,7,2,7,3,,7,8,3,7,6,6,1,2,1,,Text,"Image, Voice",I appreciated the plan preview; it reduced anxiety about automation.,5,3,3,6,5,2,"Modified tone/style (e.g., ""always respond formally"")",Constitution editor is powerful but needs better onboarding.,7,3,7,Live execution graph (seeing agents work in real time),Too many steps to approve,,
2026-02-28 16:25:48.000,55+,Several times a week,Yes,"ChatGPT, Google Gemini, Copilot, Claude",7,4,7,6,7,6,7,Constitution editor is powerful but needs better onboarding.,5,4,3,6,2,6,4,,7,6,6,5,4,4,4,,"C2 — Plan Preview (plan shown, approve before running)",C3 — Full Transparency,,7,5,2,5,8,6,7,7,4,"",1,5,1,5,6,1,1,6,4,,7,6,2,6,7,2,4,6,2,,Text,Voice,,2,6,7,5,5,5,"Changed agent routing (e.g., ""always use ArXiv and Semantic Scholar together"")",,6,4,7,Live execution graph (seeing agents work in real time),Privacy concerns with image input,,
2026-02-28 17:53:48.000,26–30,Rarely,Not sure,"Claude, Google Gemini, Cursor",6,4,6,6,2,5,5,,6,7,3,5,4,4,6,,7,7,7,7,4,7,4,,"C2 — Plan Preview (plan shown, approve before running)",C3 — Full Transparency,,7,4,3,3,6,7,2,4,2,"",2,8,3,1,7,4,6,6,2,,5,7,1,3,8,7,1,2,4,,Voice,Voice,,2,6,4,4,6,3,Restricted certain agent actions,,5,6,7,Clear step-by-step explanations,Lack of undo functionality,,
2026-02-28 18:27:48.000,31–35,Once a week,Yes,"Stable Diffusion, Copilot, Google Gemini",3,4,1,6,3,2,3,,5,7,3,4,3,4,6,,5,4,7,6,5,7,6,"",C1 — Silent (no explanation),C3 — Full Transparency,,7,10,3,1,9,4,4,3,4,,7,7,2,5,9,6,5,6,2,,3,5,2,5,3,5,3,7,4,I appreciated the plan preview; it reduced anxiety about automation.,Multimodal,"Text, Image","Overall good experience, would love more granular control.",5,6,7,4,3,7,Restricted certain agent actions,I appreciated the plan preview; it reduced anxiety about automation.,5,3,2,Plan preview before execution,Lack of undo functionality,,
2026-02-28 18:16:48.000,26–30,Once a week,No,"Midjourney, Claude, ChatGPT",4,1,6,5,1,3,2,The voice mode surprised me — easier than expected in quiet settings.,3,3,4,4,2,7,4,,5,7,4,7,4,7,5,,C1 — Silent (no explanation),"C2 — Plan Preview (plan shown, approve before running)",,3,2,3,1,7,5,6,6,5,,1,10,3,2,4,6,3,7,5,The voice mode surprised me — easier than expected in quiet settings.,6,1,2,6,6,7,3,2,5,,Text,Multimodal,,2,5,5,7,4,5,"Added a privacy rule (e.g., ""never share my calendar details"")",,6,6,5,Agent on/off toggles,Lack of undo functionality,,
